	LAI(Foliage Density)	LMI (g)/m2	Seed mass (mg)	Accessory cost(g) per seed	Seed no. per m2 canopy area	Seed mass(g) per m2 COA	Total RE per COA(gm-2)	RE per seed	Seed no. per m2 leaf area	Total seed mass per m2 leaf area (g)	Total RE per m2 leaf area
Hakea sericea	0.619801147	120.5489073	32.252	3.703	24.36	0.7857	90.38	3.735	39.3	1.268	145.822
Isopogon anethifolius	2.5835178	996.318473	2.784	0.1013	2231	6.211	221.7	0.1041	863.51	2.404	85.812
Hakea gibbosa	1.998058713	929.7673341	55.869	8.558	36.43	2.192	291.5	8.614	18.23	1.019	156.486
Leptospermum arachnoides	0.238971924	65.84763997	0.118	0.000421582	7609	0.8294	4.037	0.0005	31839	3.471	16.894
Angophora hispida	2.16575876	516.5878633	24.889	0.4603	57.93	1.442	28.1	0.4851	26.75	0.666	12.976
Banksia oblongifolia	0.480490047	145.422648	20.882	2.723	18.28	0.3816	43.1	2.744	38.04	0.794	89.701
Banksia spinulosa	0.514139577	110.2816114	17.392	3.454	17.53	0.3049	33.95	3.471	34.1	0.593	66.031
Banksia marginata	0.942661794	160.6382559	7.52	1.103	103.32	0.7861	90.62	1.111	114.66	0.862	99.477
Banksia ericifolia	0.973379125	219.250886	20.931	3.743	67.21	1.407	192.29	3.764	69.047	1.445	197.553
Grevillea buxifolia	0.607275559	84.05946789	44.113	0.1051	70.57	3.113	10.51	0.1492	123.37	5.442	18.368
Grevillea sericea	0.486393012	75.12409209	15.901	0.0499	162.2	2.579	10.66	0.0658	323.28	5.14	21.256
Tetratheca ericifolia	0.307862705	37.42852922	2.156	0.0057	737.3	1.59	5.854	0.0078	2377.47	5.126	18.916
Micrantheum ericoides	0.324583914	34.85556322	2.652	0.0035	3581	9.498	22.083	0.0062	11094	29.422	68.408
Lambertia formosa	0.959416842	243.3504347	20.793	0.194	25.83	0.5372	5.558	0.2148	26.93	0.56	5.793
Hemigenia purpurea	0.229297387	40.77504949	0.774	0.0021	367	0.2841	1.042	0.0029	1713.5	1.326	4.867
Pultenaea elliptica	0.662052055	79.69714402	1.865	0.0047	778.6	1.452	5.12	0.0066	1240	2.313	8.327
