Order	Species	Indiv	Canopy_Area	Leaf_Area	Leaf_area_est	Leaf_Area	Leaf_mass	Height	Fruits	Seeds
1	Hakea sericea	1	4.523893421	3.3525	2.803914333	2.803914333	224	4	37	69
2	Hakea sericea	2	4.523893421	5.1881	2.803914333	2.803914333	454.1	3.5	50	94
3	Hakea sericea	3	5.309291585		3.290705016	3.290705016		3	47	88
4	Hakea sericea	4	1.759291886		1.090411129	1.090411129		4	3	6
5	Hakea sericea	5	3.801327111		2.356066905	2.356066905		3	11	21
6	Hakea sericea	6	3.337942194		2.068860402	2.068860402		2.8	15	28
7	Hakea sericea	7	2.387610417		1.479843676	1.479843676		3	32	60
8	Hakea sericea	8	2.002765317		1.241316241	1.241316241		3.8	6	11
9	Hakea sericea	9	1.939933464	0.6036	1.202372986	1.202372986	197.9	2.8	14	26
10	Hakea sericea	10	0.785398163	0.4407	0.486790683	0.486790683	154	2.4	11	21
11	Hakea sericea	11	0.86393798		0.535469751	0.535469751		1.8	24	45
12	Hakea sericea	12	1.099557429		0.681506956	0.681506956		3.7	15	28
13	Hakea sericea	13	0.714712329		0.442979521	0.442979521		3.1	25	47
14	Hakea sericea	14	1.319468915	0.3006	0.817808347	0.817808347	84.8	1.9	17	32
15	Hakea sericea	15	1.29590697		0.803204627	0.803204627		3	23	43
16	Hakea sericea	16	0.604756586		0.374828826	0.374828826		2.3	10	19
17	Hakea sericea	17	0.247400421		0.153339065	0.153339065		1.4	3	6
18	Hakea sericea	18	0.628318531	0.4592	0.389432546	0.389432546	132.6	2	14	26
19	Isopogon anethifolius	1	1.099557429		2.840726189	2.840726189		3.2	44	1692
20	Isopogon anethifolius	2	0.706858347		1.826181121	1.826181121		1.8	28	1077
21	Isopogon anethifolius	3	0.172787596		0.44639983	0.44639983		1.8	22	846
22	Isopogon anethifolius	4	0.229728963	1.0914	0.593508864	0.593508864	455.1	1.5	17	654
23	Isopogon anethifolius	5	0.178678082		0.461618006	0.461618006		1.7	13	500
24	Isopogon anethifolius	6	0.259181394	1.098	0.669599745	0.669599745	406.3	2	10	385
25	Isopogon anethifolius	7	0.467311907		1.20730863	1.20730863		2.4	35	1346
26	Isopogon anethifolius	8	0.3848451		0.994254166	0.994254166		1.8	10	385
27	Isopogon anethifolius	9	0.26507188		0.684817921	0.684817921		1.6	13	500
28	Isopogon anethifolius	10	0.204203522	0.2724	0.527563435	0.527563435	100.7	2.1	7	269
29	Isopogon anethifolius	11	0.604756586	0.9237	1.562399404	1.562399404	339.1	2.1	30	1154
30	Isopogon anethifolius	12	0.106028752		0.273927168	0.273927168		1.8	15	577
31	Isopogon anethifolius	13	0.282743339		0.730472449	0.730472449		1.8	14	538
32	Isopogon anethifolius	14	0.141371669		0.365236224	0.365236224		1.7	8	308
33	Isopogon anethifolius	15	0.070685835		0.182618112	0.182618112		1.7	6	231
34	Isopogon anethifolius	16	0.565486678	0.8211	1.460944897	1.460944897	273	1.7	19	731
35	Isopogon anethifolius	17	0.329867229		0.852217857	0.852217857		2	7	269
36	Isopogon anethifolius	18	0.294524311	0.6481	0.760908801	0.760908801	262.9	1.2	9	346
42	Hakea gibbosa	1	0.306305284	0.2156	0.612015941	0.612015941	86.7	2.3	8	11
